Date,8,10,2019
Vehicle_order,SMART_TARGET,MERCEDES_GLE450,TESLA_MODELX,AUDI_E_TRON,
Number_of_vehicles,4
ACC,1
Distance_setting,S
Time,Speed1,E1,N1,Lon1,Lat1,Alt1,Speed2,E2,N2,Lon2,Lat2,Alt2,Speed3,E3,N3,Lon3,Lat3,Alt3,Speed4,E4,N4,Lon4,Lat4,Alt4,IVS1,IVS2,IVS3
185.1,11.109721453783116,-138.81948910538532,-31.093252066308466,16.841687369496416,46.89474230420631,245.019,10.866965127828202,-132.71750405824005,-47.32210228860813,16.841767441553777,46.894596319439785,244.6395,10.596497497368203,-126.19942427908659,-64.16463274738803,16.841852973729598,46.89444481438285,244.46200000000002,10.691142437464077,-116.13133857024445,-80.23337869390089,16.84198509013601,46.89430026981603,244.27,13.223547568389122,14.622055476711015,13.911121950040537
185.2,11.110276059942287,-139.0606052428785,-30.01460709628581,16.841684205498954,46.894752007033794,244.967,10.864389041753974,-133.1083699026799,-46.301561818214424,16.84176231249625,46.89460549959489,244.6395,10.602249773615068,-126.69865006028023,-63.227896481006326,16.841846422740854,46.894453240686815,244.105,10.673887816187396,-116.74547129868296,-79.36057270494501,16.841977031304225,46.8943081210425,244.27,13.225975536225528,14.661578495707625,13.904741486627312
185.3,11.110778536146872,-139.29214424817306,-28.9336220595568,16.841681167175462,46.8947617309111,244.967,10.86711561148948,-133.49071716451712,-45.27753037102701,16.841757295222095,46.894614711152684,244.835,10.612030662226744,-127.19071289471552,-62.286001832665676,16.841839965746416,46.89446171339244,244.595,10.65785484229606,-117.3529107256053,-78.48474694758718,16.841969060303928,46.89431599943296,244.27,13.22845208410094,14.700015421495161,13.900855379807636
185.4,11.111228882396873,-139.5141142326509,-27.85063263440877,16.841678254419502,46.89477147281864,244.967,10.875144837034721,-133.86467560410952,-44.24893961129794,16.84175238802855,46.89462396372325,244.835,10.625840163203232,-127.6757179010396,-61.33853401216884,16.841833601366893,46.89447023623088,244.595,10.64304351579006,-117.9538729950088,-77.60603121985008,16.841961174298802,46.89432390381981,244.27,13.229626391589965,14.737997969618636,13.899906620618484
185.5,11.111627098692294,-139.72641702827596,-26.765763201224512,16.841675468519256,46.89478123163758,244.967,10.888476718389692,-134.22964669442356,-43.216136583869286,16.84174759876967,46.89463325418479,244.835,10.643678276544533,-128.1537818377516,-60.38641095254487,16.841827328070146,46.894478800944995,244.595,10.629453836669402,-118.54821790325241,-76.72456169545015,16.841953375128664,46.89433183297813,244.27,13.229875464848654,14.775839334937675,13.901391813882325
185.6,11.111973185033124,-139.92906081984574,-25.67909226645457,16.841672809367328,46.89479100666172,244.967,10.9071112555544,-134.60199528038615,-42.196307984902326,16.841742712701098,46.89464242793635,244.835,10.66554500225065,-128.62492079335846,-59.429354181295814,16.84182114564505,46.89448741003975,244.595,10.617085804934085,-119.13600771401077,-75.83996942215931,16.841945661976453,46.89433979022677,244.683,13.240445488897308,14.802416720614305,13.905236163347073
185.7,11.112267141419368,-140.12205578100472,-24.59070351848649,16.841670276830214,46.89480079713825,244.929,10.931048448528848,-134.95953555314225,-41.16634563074855,16.841738020951613,46.894651692844924,244.835,10.691440340321586,-129.08991472801657,-58.467988414474256,16.841815043856744,46.89449605789557,244.595,10.605939420584098,-119.71723663019549,-74.95241031000886,16.841938034918257,46.894347774163286,244.683,13.24642210830076,14.832435375067325,13.91144663848509
185.8,11.11248518115426,-140.30542306161377,-23.50066367662567,16.84166787063038,46.89481060246701,244.929,10.956856576453884,-135.3031322891423,-40.12741618670442,16.84173351217335,46.894661038415954,244.757,10.717833282582696,-129.54787554608686,-57.49958452254782,16.841809034359073,46.89450476906206,244.327,10.595963745264198,-120.29183051131876,-74.06153224913434,16.841930494926945,46.89435578795501,244.34799999999998,13.248388633548384,14.862949317192154,13.921706711024768
185.9,11.112603517541027,-140.47920471735463,-22.40903479575529,16.841665590215953,46.894820422089786,244.929,10.981103918470344,-135.63345238592188,-39.08007629464697,16.841729177615086,46.89467045964219,244.757,10.741192820859348,-129.99721341599374,-56.53124020388693,16.841803138014296,46.89451347969266,244.327,10.587107840619122,-120.859798328608,-73.16759201635011,16.84192304188481,46.894363829292175,244.34799999999998,13.246462825387196,14.901025720868326,13.929296897376634
186.0,11.112622150579682,-140.6434780085256,-21.3158872249,16.841663434573118,46.89483025537378,244.929,11.003790474578262,-135.9514917431876,-38.02507110459632,16.841725004208318,46.89467994982075,244.757,10.761518955151539,-130.44035476142463,-55.55692289982914,16.841797322982146,46.89452224405256,244.327,10.579371706648868,-121.42116712743122,-72.2703537206528,16.84191567543696,46.89437190029666,244.34799999999998,13.240892578723052,14.939922389125588,13.940461880487712
