Date,8,10,2019
Vehicle_order,SMART_TARGET,TESLA_MODEL3,TESLA_MODELS,MERCEDES_GLE450,JAGUAR_I_PACE,BMW_I3,AUDI_E_TRON,
Number_of_vehicles,7
ACC,1
Distance_setting,L
Time,Speed1,E1,N1,Lon1,Lat1,Alt1,Speed2,E2,N2,Lon2,Lat2,Alt2,Speed3,E3,N3,Lon3,Lat3,Alt3,Speed4,E4,N4,Lon4,Lat4,Alt4,Speed5,E5,N5,Lon5,Lat5,Alt5,Speed6,E6,N6,Lon6,Lat6,Alt6,Speed7,E7,N7,Lon7,Lat7,Alt7,IVS1,IVS2,IVS3,IVS4,IVS5,IVS6
543.1,11.120482093110278,131.0094114604146,61.53423581083264,16.845228144348614,46.89557552418227,243.86599999999999,11.307540210393865,114.53658818385924,89.70157877676522,16.845011983076493,46.8958289002952,244.267,11.1708407610952,88.68029260120659,115.93295788389092,16.844672689098054,46.8960648616666,244.69799999999998,10.747404429868151,62.247574969252135,132.28574125797905,16.844325831138548,46.89621196125963,245.0135,10.909865620446329,35.0144347806385,143.15902043634406,16.84396846979688,46.8963097705992,245.57299999999998,11.301065038929842,10.05282583398909,147.9201159537013,16.843640916161807,46.89635259848954,245.7355,11.501656920588465,-35.82203187375751,140.54907196971052,16.843038932674567,46.8962862931062,245.59,28.51599994077941,33.51096018784307,26.249431787862672,24.388130420101643,21.001501338400107,42.12605304657736
543.2,11.120811674606994,131.46851416443943,60.52599258476016,16.845234168830448,46.8955664546456,243.86599999999999,11.29795725077322,115.22951576727341,88.81069537897726,16.84502107587773,46.89582088645546,244.267,11.172079986861856,89.56694715067142,115.25033564720208,16.844684324041992,46.89605872121633,244.69799999999998,10.74622551222774,63.21953299365039,131.82401991021075,16.84433858545998,46.89620780789804,245.0135,10.899129575013935,36.07807610974128,142.91146588132827,16.843982427213827,46.8963075437505,245.57299999999998,11.278316361215868,11.185146273260623,147.83951557587045,16.843655774806404,46.896351873458045,245.68900000000002,11.495494879040676,-34.71316143215614,140.8400153468399,16.843053483601345,46.89628891025408,245.467,28.500310941512428,33.524379779670355,26.293977774175254,24.38332186947553,20.965935173828466,42.09174225532168
543.3,11.121217824849603,131.919593744076,59.51421409380468,16.84524008803046,46.895557353307886,243.86599999999999,11.286132266639989,115.91560309580669,87.91486739316186,16.84503007891912,46.89581282813725,244.267,11.174321551011307,90.44840630473615,114.56095600543226,16.844695890810414,46.89605251998057,244.69799999999998,10.745178842681351,64.18794808852257,131.3546423031266,16.844351293290046,46.896203585665454,245.233,10.890098027899336,37.137189008670845,142.65511556548097,16.843996325207375,46.896305237780545,245.57299999999998,11.256140070338173,12.293208442888096,147.72616261564838,16.843670315126793,46.896350853804464,245.68900000000002,11.487402762775792,-33.602530055428055,141.12211056448766,16.84306805763563,46.89629144780936,245.467,28.4849054830048,33.53754232106709,26.338382546318076,24.380833985516734,20.946130406178106,42.031230449405115
543.4,11.121596930079845,132.36267609805049,58.499005830908864,16.845245902288507,46.89554822111804,243.291,11.273972397853218,116.59454648730744,87.0140762584141,16.845038988215645,46.8958047251736,244.267,11.177097993492627,91.32459627969266,113.8647251803916,16.844707388435108,46.89604625711581,244.50900000000001,10.744919235020252,65.15251477758001,130.8773359466725,16.844363950620185,46.896199292110694,244.77599999999998,10.881917256186492,38.193221797359094,142.3913809513946,16.8440101827828,46.89630286538599,245.456,11.23459103016604,13.42280503425666,147.59169231460902,16.843685138028253,46.896349644192235,245.68900000000002,11.478526966969595,-32.490112823636586,141.39560815176813,16.84308265510444,46.89629390802562,245.467,28.469845442388372,33.55023144890772,26.382738370049715,24.379681831950933,20.900299396522453,41.991910854247976
543.5,11.121845376539426,132.7976577626695,57.48032108264471,16.845251610246912,46.89553905765587,243.893,11.263384784271974,117.26630762031785,86.10861340739395,16.845047803264446,46.895796580186044,244.2265,11.17994185425489,92.19562716369164,113.1618368596231,16.844718818360672,46.89603993436428,244.50900000000001,10.746101503035689,66.11322627360484,130.39211573641595,16.84437655736134,46.89619492736777,244.77599999999998,10.873733536959364,39.24515284089793,142.1207864734606,16.844023986533905,46.896300431284295,245.456,11.213724104568806,14.504965507997785,147.48384984701997,16.84369933845891,46.89634867410766,245.68900000000002,11.470013886797886,-31.376211216518666,141.6602062981294,16.84309727205166,46.896296288188,245.467,28.45539983507898,33.562273745363115,26.42703383193201,24.381018600685376,20.90469509405468,41.91208357124329
543.6,11.121963164228358,133.2245093554442,56.45818551312025,16.845257211520092,46.89552986315222,243.893,11.25436942589624,117.93072935764532,85.19826170807706,16.84505652200352,46.89578839122143,244.15,11.182853133298096,93.06123034033277,112.45217038361127,16.844730177062253,46.89603355064065,244.50900000000001,10.748725646727674,67.0702878962006,129.8989774564161,16.844389116207775,46.896190491398755,244.77599999999998,10.865546870217928,40.29525449536091,141.84238009124564,16.84403776627923,46.89629792691152,245.1045,11.19353929354641,15.614151717547527,147.39808518544558,16.843713893529287,46.89634790262145,245.614,11.46186352226063,-30.260643126605373,141.91643624752618,16.843111910866963,46.89629859307521,245.493,28.441422724478887,33.57381632151566,26.47092558194843,24.38259093213688,20.888560564519032,41.86392885119909
543.7,11.121950293146636,133.64319097747992,55.43267765312278,16.8452627055845,46.895520638313535,243.893,11.246926322726019,118.58777554965445,84.28354005247347,16.845065143958507,46.89578016294737,244.15,11.185831830622249,93.92146167528763,111.7355931275248,16.844741465272936,46.896027104751866,244.50900000000001,10.752791666096204,68.02341062210117,129.3979860223215,16.844401623366835,46.8961859847876,244.86,10.857357255962203,41.3426240911505,141.55597981702363,16.844051510173667,46.89629535063061,245.149,11.174036597098887,16.734211188621025,147.33027474197198,16.843728591281824,46.896347292640364,245.614,11.454075873357851,-29.143723481737176,142.16384726288285,16.84312656741777,46.89630081863271,245.77200000000002,28.42830587876616,33.58431396318663,26.514803489990285,24.384874469996852,20.866687786455817,41.8307097779522
543.8,11.121806763294261,134.05366629334983,54.40387152956258,16.845268091963323,46.895511383805676,243.893,11.24105547476132,119.23728220643463,83.36415861148444,16.845073666977466,46.89577189275674,244.15,11.188877946227343,94.77619975258348,111.01226270193119,16.844752681399466,46.89602059811573,244.7,10.758299561141277,68.97293292637944,128.88915490702354,16.844414083280096,46.896181407655476,244.86,10.849164694192181,42.38650894979409,141.2614328685914,16.84406520834035,46.89629270106721,245.149,11.155216015226236,17.887151833483177,147.27697954284187,16.843743720510876,46.89634681322949,245.614,11.446650940089542,-28.025727217048892,142.40276267339462,16.843141238096305,46.89630296776897,245.77200000000002,28.41579182512094,33.59406663357566,26.55820080458813,24.388796722761946,20.816965528127746,41.83367267409811
543.9,11.121532574671233,134.45590868802984,53.37181445324173,16.84527337030731,46.89550210005425,243.893,11.236756882002132,119.87925003629928,82.44056842186252,16.84508209106971,46.89576358470679,244.15,11.191991480113382,95.62570895988031,110.28180847686228,16.844763828911212,46.89601402739827,244.7,10.765249331862886,69.9187148048251,128.37255729774728,16.844426494110383,46.89617676066075,244.86,10.840969184907863,43.4279383561633,140.9591151943421,16.844078874285866,46.89628998160314,245.149,11.13707754792845,18.950546091653464,147.2349271700103,16.843757674685687,46.896346434952186,245.614,11.439588722455705,-26.90639234893789,142.63303294578756,16.843155926340387,46.89630503913887,245.693,28.40423086328009,33.602282946919125,26.601700526494174,24.393425201960802,20.859013191922127,41.75005708955929
544.0,11.121127727277553,134.849881847709,52.33659699226136,16.845278540139947,46.89549278787396,243.75,11.234030544448466,120.51357998932184,81.51241604845542,16.845090414935466,46.895755235618246,244.15,11.195172432280359,96.46974987415888,109.54439035236535,16.844774904666387,46.896007394037845,244.7,10.773640978261032,70.86074301240009,127.84797623661564,16.844438855683883,46.89617204185181,244.86,10.832770728109264,44.46666023388718,140.64900246750867,16.844092504702378,46.89628719201957,245.149,11.119621195205557,20.05391442568959,147.20183533577136,16.843772153412175,46.896346137278364,245.592,11.432889220456348,-25.78616568043841,142.85467342954402,16.843170626286938,46.8963070328805,245.693,28.39325895079344,33.60943816755734,26.6448996437941,24.39907100179701,20.866792804159555,41.70853589476985
544.1,11.120592221113222,135.23556152572272,51.29826119238558,16.845283601143056,46.895483447643,243.75,11.232876462100318,121.14014382136436,80.58024539727717,16.84509863689188,46.89574685038374,244.162,11.198420802728283,97.30803605098005,108.79985730611843,16.8447859049062,46.89600069667597,244.7,10.783474500335734,71.79901380650261,127.3156295454496,16.84445116795149,46.89616725318801,244.979,10.82456932379636,45.50326632240851,140.33054556936216,16.844106107354882,46.896284327376954,245.1705,11.10284695705751,21.108730899084613,147.17689921929897,16.84378599502675,46.89634591296838,245.592,11.426552434091455,-24.664866383203524,143.06795413646276,16.843185340308846,46.89630895142272,245.693,28.383374142037724,33.6151038034727,26.687782607078017,24.40487411250595,20.926937100800536,41.620439985317525
544.2,11.120066472116074,135.61293119300402,50.25684095867816,16.845288553099742,46.89547407966636,243.75,11.232336196696613,121.75888970409694,79.64369716472551,16.845106756258847,46.895738425771206,244.1135,11.202405842175322,98.1408617552401,108.04842012627329,16.84479683349207,46.895993937208736,244.4425,10.793944069917634,72.73355178241658,126.77557512030953,16.84446343123595,46.89616239519018,244.979,10.816671796841684,46.54013222593986,140.00949618395722,16.844119713416756,46.89628143941391,245.1705,11.086928541408856,22.206865271417083,147.10387414111318,16.84380040507164,46.89634525607965,245.49599999999998,11.420215133147266,-23.542786325462398,143.272674175633,16.843200064576116,46.896310792958424,245.64700000000002,28.374239722742626,33.61948501408349,26.730482921994987,24.411306873701896,20.93625301842448,41.57257837652188
544.3,11.11969089622396,135.98196998868463,49.21243317022621,16.84529339573626,46.89546468481552,243.75,11.231451309976286,122.36976536702616,78.70301299737764,16.845114772350453,46.895729963954324,244.1135,11.207796801339645,98.96807938277344,107.28995505257821,16.844807688487087,46.895987114522896,244.49400000000003,10.804243858837392,73.66441631362981,126.22781394996224,16.844475646316386,46.89615746786721,244.979,10.809384972117753,47.57117585782882,139.67917705710877,16.844133243077053,46.89627846806598,245.1705,11.072039656184108,23.258844191570372,147.05727301654258,16.843814209450994,46.896344836884545,245.49599999999998,11.41351408741001,-22.419928338288198,143.4685611711823,16.843214799051616,46.89631255503749,245.64700000000002,28.365999374716548,33.62236289794968,26.77291092511432,24.42092258293789,20.99708996601434,41.48231713635292
544.4,11.11946549343688,136.34266549350724,48.16512056604578,16.845298128889638,46.89545526383474,243.75,11.23022180193934,122.97281324093392,77.75826598104837,16.845122685723492,46.895721465590576,244.1135,11.214593680221254,99.78936386900028,106.5243275157917,16.844818465625675,46.89598022740793,244.49400000000003,10.814373867095007,74.59151249511214,125.6723192811272,16.84448781194741,46.89615247097843,244.979,10.802708849624565,48.591433712670096,139.3345233776454,16.844146631203188,46.89627536777322,245.1705,11.058180301383276,24.356393325815922,147.03421524061125,16.84382861181622,46.89634462947097,245.49599999999998,11.406449296879675,-21.296311952678,143.65596490699767,16.84322954347904,46.89631424080637,245.64700000000002,28.358621686223955,33.62380367621928,26.814955139598993,24.43562696176966,21.018662609910358,41.440317555108564
544.5,11.119390263754829,136.69510990098212,47.11485194720682,16.845302753769673,46.89544581626347,243.7825,11.228647672585774,123.56789101180138,76.80904304162964,16.845130494510475,46.89571292696416,244.1135,11.222796478820136,100.60491539978389,105.75169414597342,16.84482916753472,46.895973277272795,244.49400000000003,10.824334094690473,75.51509005560106,125.10912435885164,16.844499931406048,46.896147404822905,244.7205,10.79664342936213,49.60779692693672,138.98371421009307,16.84415996822269,46.89627221210946,245.237,11.045350477006364,25.411430132997648,146.95541692615376,16.843842456322083,46.89634392064974,245.49599999999998,11.399020761556285,-20.17217189748359,143.83467227384662,16.843244294778213,46.896315848348046,245.64700000000002,28.35187165589025,33.62402942661674,26.856512822979198,24.45319279559331,21.06560882011853,41.353092864415714
