Date,8,10,2019
Vehicle_order,SMART_TARGET,BMW_I3,MERCEDES_GLE450,JAGUAR_I_PACE,TESLA_MODELX,TESLA_MODEL3,TESLA_MODELS,MAZDA_3,AUDI_A4,
Number_of_vehicles,9
ACC,1
Distance_setting,S
Time,Speed1,E1,N1,Lon1,Lat1,Alt1,Speed2,E2,N2,Lon2,Lat2,Alt2,Speed5,E5,N5,Lon5,Lat5,Alt5,Speed6,E6,N6,Lon6,Lat6,Alt6,Speed7,E7,N7,Lon7,Lat7,Alt7,IVS1,IVS5,IVS6
969.0,8.24293598794779,-139.79155251619454,-308.038848423453,16.841674613792073,46.89225107176088,243.296,8.314683996958772,-138.97552612532294,-290.83197437709606,16.841685321932367,46.89240585422889,243.38,8.35050781821081,-139.73030910247894,-239.329543098346,16.841675417446307,46.89286913846055,243.881,8.475386895723776,-140.42723717080352,-221.85786635796313,16.841666272149514,46.8930263029309,243.941,8.463467774012884,-141.12901481301537,-204.47385898155116,16.84165706321518,46.893182678781535,243.924,13.166641298675694,12.16244625756662,12.858597589288573
969.1,8.244047988458455,-139.78007259160088,-308.8638505899576,16.841674764435044,46.89224365054822,243.215,8.320021532366027,-138.9188202201467,-291.68188994869536,16.84168606604407,46.89239820891054,243.38,8.346753864923844,-139.72065893520394,-240.16353562667342,16.84167554407866,46.89286163637611,243.881,8.475009183913901,-140.41602560802647,-222.7044866459981,16.841666419270965,46.89301868725492,243.941,8.458384996042025,-141.10530844509893,-205.32076017325284,16.84165737429717,46.893175060578706,243.924,13.143960724539285,12.149766331030376,12.857817391503167
969.2,8.244496431153204,-139.7683401208815,-309.68892967535487,16.841674918392002,46.89223622864365,243.215,8.325358151570411,-138.8593523345109,-292.53032150019294,16.841686846399302,46.89239057694153,242.24400000000003,8.342229426907332,-139.71127407077392,-240.9971155532011,16.841675667229637,46.89285413800321,243.881,8.47376781135625,-140.40509108155763,-223.55120397372875,16.841666562757066,46.893011070705995,243.941,8.454731569571981,-141.08146821019216,-206.16766887580968,16.8416576871358,46.89316744230831,243.924,13.123096720840346,12.136577695804686,12.857119617878384
969.3,8.244281316032035,-139.75634148866092,-310.51404751088415,16.841675075841614,46.8922288063905,243.215,8.330693854571916,-138.79554406736995,-293.31108619390886,16.841687683710305,46.89238355366201,242.24400000000003,8.336934504161281,-139.7019652518598,-241.82974321977025,16.84167578938272,46.89284664819623,243.832,8.471662778050831,-140.39426083579156,-224.39794251059257,16.841666704874758,46.89300345396632,243.941,8.452507494602756,-141.05745870560781,-207.01475417334385,16.84165800219564,46.89315982244937,243.924,13.170199352344644,12.122417538951115,12.856265689076162
969.4,8.243402643094951,-139.74416254191962,-311.3393320746057,16.841675235657366,46.892221382637565,243.215,8.336028641370548,-138.72844745299358,-294.14640188086946,16.841688564171974,46.89237603967525,242.24400000000003,8.330869096685683,-139.69281385040605,-242.661914416228,16.841675909470123,46.892839162495385,243.832,8.468694083997633,-140.3837184300786,-225.24483920913207,16.841666843215336,46.8929958358039,243.933,8.451712771134348,-141.03345746935327,-207.86186752191708,16.84165831714698,46.893152202338115,243.924,13.163335329487412,12.107648455061142,12.85554128549984
969.5,8.241860412341952,-139.73167845049173,-312.16446650265874,16.841675399477314,46.892213960235175,243.215,8.341362511966299,-138.65795777823857,-294.97135223149104,16.84168948915839,46.8923686189287,242.24400000000003,8.324033204480546,-139.6837971117945,-243.4933120157877,16.841676027790438,46.89283168375335,243.832,8.464861729196668,-140.37329709991158,-226.0913028163071,16.841666979967126,46.89298822153732,243.933,8.45234739916676,-141.00908593987174,-208.70935963344039,16.84165863695742,46.89314457881972,243.4865,13.167037228672733,12.092538631961146,12.853997989228379
969.6,8.239654623773037,-139.7189181740487,-312.98950516219463,16.841675566921445,46.892206538694246,243.215,8.34669546635917,-138.58394034780383,-295.7991017041184,16.841690460437064,46.89236117300297,242.24400000000003,8.316426827545875,-139.67490229674664,-244.32408544441415,16.841676144510842,46.89282421062596,243.832,8.460165713647928,-140.36297797602117,-226.9374672533553,16.841667115377724,46.89298060996186,243.933,8.45441137869999,-140.98467458150878,-209.55683418114282,16.841658957290498,46.893136955459326,243.4865,13.168258879487677,12.07710331995419,12.852179302223634
969.7,8.236785277388204,-139.70588002673057,-313.8144350697827,16.841675738011883,46.89219911813159,243.2,8.352027504549168,-138.5062254114797,-296.64277227224574,16.841691480235507,46.89235358386085,242.24400000000003,8.308049965881656,-139.66621863036642,-245.15417283441062,16.841676258460485,46.892816743669755,243.832,8.454606037351416,-140.35274215977026,-227.78325057739067,16.841667249695142,46.89297300181469,243.933,8.457904709734036,-140.96020549640448,-210.4046909010907,16.841659278381094,46.89312932866114,243.4865,13.153945522973403,12.061358309420125,12.849604197031242
969.8,8.233973056282453,-139.6925868194439,-314.6392427422785,16.84167591244929,46.89219169866848,243.2,8.356598943854298,-138.42460398362476,-297.4926739208545,16.841692551296088,46.892345938667745,242.24400000000003,8.299508319123829,-139.65776280169888,-245.98389013432984,16.841676369420377,46.892809280042655,243.832,8.448788662392696,-140.34292880552428,-228.62887827313355,16.841667378468888,46.892965395067435,243.933,8.462414466628017,-140.9356692619874,-211.2530067948969,16.841659600352838,46.89312169773253,243.4865,13.133816668098685,12.045406730397756,12.846409466162578
969.9,8.231938643550777,-139.67903728916428,-315.4639298536751,16.841676090250242,46.89218428028987,243.2,8.359650101592564,-138.33882636034264,-298.33910963706273,16.8416936768955,46.892338324652044,242.657,8.291407586908344,-139.6494051506958,-246.81274642027748,16.841676479091948,46.892801824160706,243.832,8.443319550857337,-140.33317892255906,-229.47376418044084,16.841667506409742,46.89295779499287,243.933,8.467527723741037,-140.91106410055428,-212.10162721099545,16.841659923229066,46.893114064064605,243.4865,13.117611815955826,12.029334681391315,12.84217689947607
